,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,그레이스탑(주상복합),18A㎡,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,18.9,13.5,71,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,11,78.0,88.0
1,그레이스탑(주상복합),19B㎡,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,19.66,14.04,71,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,11,78.0,88.0
2,그레이스탑(주상복합),20C,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,20.67,14.76,71,1,1,12,계단식,,,,,,,,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,11,78.0,88.0
0,도시그린빌라트18차,66,서울시 종로구 숭인동,1111017500,820-1,서울시 종로구 숭인동1가길 1-2,37.576902,127.021049,10,0,5,5,242,58,3,동성개발산업(주),HT001,66.96,59.76,89,3,1,10,계단식,52560,178650,10510,115580,0,0,0,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,16,78.0,88.0
0,동묘드림(도시형),24㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,24.23,17.98,74,1,1,2,복도식,,,,,,,,,,,,,,,"2,000/50","2,000/55","2,000/50","2,000/55",서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
1,동묘드림(도시형),27A㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,27.08,20.1,74,1,1,2,복도식,,,,,,,,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
2,동묘드림(도시형),27B㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,27.58,20.46,74,1,1,2,복도식,,,,,,,,,,,,,,,,,,,서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
3,동묘드림(도시형),28A㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,28.47,21.12,74,1,1,6,복도식,,,,,,,,,,,,,,,,"3,000/50",,"3,000/50",서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
4,동묘드림(도시형),30B㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,30.25,22.44,74,1,1,4,복도식,,,,,,,,,,,,,,,"1,000/60","3,000/50","1,000/60","3,000/50",서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
5,동묘드림(도시형),30C,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,30.7,22.77,74,1,1,4,복도식,,,,,,,,,,,,,,,"2,000/50","2,000/55","2,000/50","2,000/55",서울창신초등학교,B100002392,서울특별시 종로구 창신동 128번지,공립,단설,19160520,서울특별시교육청,http://chang-shin.sen.es.kr,20230531,15.0,15.1,186,162,20230531,3,38,3,4,3,3,4,5,45,57,48,48,65,,1,7,22,348,1,4,0,0,20230531,11,,0,0.0,20230531,직영,3457,608,612910000,37.57613613,127.0144585,1111017400,서울시,19.8,17.4,종로구,16.7,14.8,7,78.0,88.0
