,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경희궁롯데캐슬,82㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,82.99,59.67,72,3,2,71,계단식,1065600,1872180,213120,593460,0,0,0,,224601,232671,,"12억 8,000",,"8억 1,000",,3억/200,,3억/200,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,1,89.0,99.0
1,경희궁롯데캐슬,114㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,114.49,84.87,74,3,2,100,계단식,1449000,2466450,289800,727650,166320,138600,27720,,319470,330949,15억,18억,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,1,89.0,99.0
2,경희궁롯데캐슬,141㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,141.77,104.44,74,4,2,12,계단식,1855800,3096990,371160,870030,849744,708120,141624,,393112,407237,20억,25억,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,1,89.0,99.0
3,경희궁롯데캐슬,150,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,150,110.85,74,4,3,12,계단식,1956600,3253230,391320,905310,1019088,849240,169848,,417242,432234,,22억,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,1,89.0,99.0
0,무악(주상복합),80,서울시 종로구 무악동,1111018700,63-4,서울시 종로구 통일로 272,37.576183,126.956344,17,0,4,4,0,0,0,,HT001,80.76,80.76,100,3,2,17,계단식,186900,426720,37380,202440,0,0,0,,,,,"7억 5,000",,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
0,무악다온채,39㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,39.6,33.76,85,2,1,1,계단식,48750,168750,9750,110250,0,0,0,,,,,,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
1,무악다온채,60㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,60.25,51.36,85,2,1,1,계단식,93750,285750,18750,173250,0,0,0,,,,,,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
2,무악다온채,75㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,75.21,64.12,85,3,2,1,계단식,118500,350100,23700,207900,0,0,0,,,,,"6억 3,000",,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
3,무악다온채,85㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,85.68,73.05,85,3,2,1,계단식,153900,418410,30780,233730,0,0,0,,,,,,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
4,무악다온채,99,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,99.5,84.82,85,3,2,12,계단식,210600,526140,42120,273420,0,0,0,,,,,,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,8,89.0,99.0
0,무악현대,84㎡,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,84.33,60,71,3,1,207,복도식,414900,914310,82980,416430,0,0,0,,155868,147944,"8억 4,000","9억 5,000",4억,"4억 2,000",1억/140,2억/100,1억/140,2억/100,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,6,89.0,99.0
1,무악현대,96㎡,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,96.52,74.6,77,3,2,1,계단식,366300,821970,73260,382410,0,0,0,,193796,183943,,,,,,,,,서울독립문초등학교,B100002376,서울특별시 종로구 무악동 46-82,공립,단설,19570928,서울특별시교육청,http://dnm.sen.es.kr,20230531,14.8,19.8,202,274,20230531,4,35,4,4,3,4,4,4,87,84,66,73,71,,1,6,23,476,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3457,502,590948000,37.57426346,126.96023446,1111018700,서울시,19.8,17.4,종로구,16.7,14.8,6,89.0,99.0
