,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
5,e편한세상마포리버파크,112D㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,112.54,84.98,76,3,2,30,계단식,,,,,,,,,411275,330620,,"22억 6,000",,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,2,224.0,328.0
6,e편한세상마포리버파크,112E㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,112.62,84.98,75,3,2,15,계단식,,,,,,,,,411275,330620,,,,,,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,2,224.0,328.0
7,e편한세상마포리버파크,152A,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,152.71,123.44,81,4,2,35,계단식,,,,,,,,,597409,480251,,26억,14억,"14억 5,000",,,,,서울염리초등학교,B100002006,서울특별시 마포구 염리동 173-4,공립,단설,19830803,서울특별시교육청,https://yeomri.sen.es.kr,20230531,22.8,24.5,690,757,20230531,4,80,10,10,9,9,10,9,250,265,220,230,250,,2,8,57,1447,2,5,0,0,20230531,21,,0,0.0,20230531,직영,3417,1447,917871000,37.54243453,126.94586728,1144010900,서울시,19.8,17.4,마포구,20.1,18.0,2,224.0,328.0
0,강변그린,76,서울시 마포구 용강동,1144010500,495-1,서울시 마포구 대흥로2길 8,37.542002,126.937388,60,0,5,5,0,0,0,,HT001,76.03,59.5,78,3,1,60,계단식,,,,,,,,,,,,"5억 7,000","2억 9,000","3억 2,000",,2억/40,,2억/40,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,4,113.0,300.0
0,대호강변,98A㎡,서울시 마포구 용강동,1144010500,118-3,서울시 마포구 대흥로4길 54,37.540957,126.939602,18,0,7,7,198,40,21,두영종합건설,HT001,98.81,84.9,86,3,2,12,계단식,452025,975240,90405,432810,0,0,0,,,,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,6,113.0,300.0
1,대호강변,98B,서울시 마포구 용강동,1144010500,118-3,서울시 마포구 대흥로4길 54,37.540957,126.939602,18,0,7,7,198,40,21,두영종합건설,HT001,98.89,84.97,86,3,2,6,계단식,452025,975240,90405,432810,0,0,0,,,,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,6,113.0,300.0
0,두영,131㎡,서울시 마포구 용강동,1144010500,494-8,서울시 마포구 대흥로 20,37.542748,126.937654,18,0,7,7,294,50,30,두영건설(주),HT001,131.09,113.22,86,4,2,1,계단식,297000,690300,59400,333900,0,0,0,,,,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,2,113.0,300.0
1,두영,151A㎡,서울시 마포구 용강동,1144010500,494-8,서울시 마포구 대흥로 20,37.542748,126.937654,18,0,7,7,294,50,30,두영건설(주),HT001,151.51,130.86,86,4,2,11,계단식,413100,910890,82620,415170,0,0,0,,,,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,2,113.0,300.0
2,두영,152B,서울시 마포구 용강동,1144010500,494-8,서울시 마포구 대흥로 20,37.542748,126.937654,18,0,7,7,294,50,30,두영건설(주),HT001,152.24,131.48,86,4,2,6,계단식,413100,910890,82620,415170,0,0,0,,,,,"9억 9,000",,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,2,113.0,300.0
0,래미안,79B㎡,서울시 마포구 용강동,1144010500,380,서울시 마포구 큰우물로 28,37.543812,126.941485,430,0,18,16,220,16,512,삼성물산(주),HT001,79.52,59.99,75,3,2,102,계단식,1110600,1941930,222120,609210,0,0,0,,177786,180094,,"12억 8,000",,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,4,113.0,300.0
