,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
0,남산애지앙,51㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,51.43,44.88,87,3,1,3,계단식,93410,284860,18680,172770,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,남산애지앙,71㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,71.85,62.7,87,3,2,1,계단식,154400,419360,30880,234080,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,남산애지앙,77㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,77.26,67.42,87,3,2,1,계단식,185200,477880,37040,255640,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,남산애지앙,88㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,88.98,77.65,87,3,2,3,계단식,204560,514660,40910,269190,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,남산애지앙,98㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,98.45,85.92,87,3,2,1,계단식,238000,578200,47600,292600,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,남산애지앙,101A㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,101.93,88.95,87,4,2,1,계단식,263520,626680,52700,310460,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,남산애지앙,103B㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,103.73,90.52,87,4,2,1,계단식,277600,653440,55520,320320,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,남산애지앙,125A㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,125.05,109.12,87,5,3,1,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,남산애지앙,126B㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,126.55,110.43,87,5,3,3,계단식,285520,668480,57100,325860,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,남산애지앙,144㎡,서울시 용산구 후암동,1117010100,1-10,서울시 용산구 후암로34길 31-17,37.552407,126.978336,18,0,5,3,233,57,21,신주종합건설(주),HT001,144.01,125.67,87,5,3,1,계단식,311920,718640,62380,344340,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
