,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,광남벨라스,64㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,64.01,53.79,84,2,1,1,계단식,57290,190940,11450,122200,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
1,광남벨라스,79A㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,79.49,66.8,84,3,1,1,계단식,74060,234550,14810,145680,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
2,광남벨라스,82㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,82.14,69.02,84,3,2,1,계단식,83520,259140,16700,158920,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
3,광남벨라스,87A㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,87.66,73.66,84,3,2,1,계단식,89970,275910,17990,167950,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
4,광남벨라스,87B㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,87.71,73.7,84,3,2,1,계단식,89970,275910,17990,167950,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
5,광남벨라스,88C㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,88.25,74.16,84,3,2,1,계단식,93410,284860,18680,172770,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
6,광남벨라스,89D㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,89.24,74.99,84,3,2,4,계단식,96850,293810,19370,177590,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
7,광남벨라스,90E㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,90.51,76.06,84,3,2,3,계단식,96850,293810,19370,177590,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
8,광남벨라스,90F,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,90.88,76.36,84,3,2,3,계단식,96850,293810,19370,177590,0,0,0,,,,,,,,,,,,서울성서초등학교,B100001990,서울특별시 마포구 성산동 산23-2(등마루1길 10),공립,단설,19831203,서울특별시교육청,http://sseo.sen.es.kr,20230531,16.4,19.2,226,255,20230531,8,38,3,4,4,3,4,5,52,81,78,63,91,,2,8,23,481,1,4,0,0,20230531,4,,0,0.0,20230531,직영,3447,741,593790000,37.56062471,126.91145157,1144012500,서울시,19.8,17.4,마포구,20.1,18.0,12,108.0,53.0
0,노블레스(249-12),71㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,71.96,65.81,91,2,1,1,계단식,102000,307200,20400,184800,0,0,0,,,,,,,,,,,,서울창서초등학교,B100002013,서울특별시 서대문구 창천동  53-38,공립,단설,19611101,서울특별시교육청,http://scs.sen.es.kr,20230531,11.4,13.6,82,81,20230531,2,20,2,1,2,1,2,2,32,23,26,23,26,,2,3,10,163,2,2,0,0,20230531,6,,0,0.0,20230531,직영,3815,203,359739000,37.55761209,126.9339637,1141011600,서울시,19.8,17.4,서대문구,19.8,17.1,24,30.0,79.0
