,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,e-편한세상2단지,80㎡,서울시 은평구 구산동,1138010500,546,서울시 은평구 서오릉로21길 48,37.612176,126.905314,122,0,15,4,237,23,179,(주)삼호,HT001,80.29,59.88,75,3,2,16,계단식,139500,391050,27900,223650,0,0,0,,,,,,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
1,e-편한세상2단지,107㎡,서울시 은평구 구산동,1138010500,546,서울시 은평구 서오릉로21길 48,37.612176,126.905314,122,0,15,4,237,23,179,(주)삼호,HT001,107.57,84.61,79,3,2,61,계단식,214200,532980,42840,275940,0,0,0,,,,"6억 4,000","7억 2,000",,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
2,e-편한세상2단지,133㎡,서울시 은평구 구산동,1138010500,546,서울시 은평구 서오릉로21길 48,37.612176,126.905314,122,0,15,4,237,23,179,(주)삼호,HT001,133.19,110.41,83,4,2,30,계단식,232200,567180,46440,288540,0,0,0,,,,"7억 5,000","8억 9,000",,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
3,e-편한세상2단지,152,서울시 은평구 구산동,1138010500,546,서울시 은평구 서오릉로21길 48,37.612176,126.905314,122,0,15,4,237,23,179,(주)삼호,HT001,152.86,117.93,77,3,2,15,계단식,238500,579150,47700,292950,0,0,0,,,,,,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
0,갈현e-편한세상1단지,81㎡,서울시 은평구 구산동,1138010500,547,서울시 은평구 서오릉로21길 47,37.612159,126.906368,327,0,22,17,300,22,399,(주)삼호,HT001,81.11,59.88,74,3,2,33,계단식,157500,425250,31500,236250,0,0,0,,163621,159227,"6억 9,000",7억,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
1,갈현e-편한세상1단지,108㎡,서울시 은평구 구산동,1138010500,547,서울시 은평구 서오릉로21길 47,37.612159,126.906368,327,0,22,17,300,22,399,(주)삼호,HT001,108.98,84.61,78,3,2,260,계단식,254700,609930,50940,304290,0,0,0,,231190,224982,7억,8억,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
2,갈현e-편한세상1단지,146,서울시 은평구 구산동,1138010500,547,서울시 은평구 서오릉로21길 47,37.612159,126.906368,327,0,22,17,300,22,399,(주)삼호,HT001,146.49,122.57,84,4,2,34,계단식,335700,763830,67140,360990,0,0,0,,334903,325909,"9억 8,000",11억,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,5,171.0,185.0
0,갈현두일,95㎡,서울시 은평구 구산동,1138010500,308-3,서울시 은평구 서오릉로27길 6,37.618554,126.90513,17,0,7,4,238,44,20,(주)새광종합건설,HT001,95.82,83.2,87,3,2,4,계단식,71700,228420,14340,142380,0,0,0,,,,,,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,13,171.0,185.0
1,갈현두일,97,서울시 은평구 구산동,1138010500,308-3,서울시 은평구 서오릉로27길 6,37.618554,126.90513,17,0,7,4,238,44,20,(주)새광종합건설,HT001,97.52,84.62,87,3,2,13,계단식,71700,228420,14340,142380,0,0,0,,,,,,,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,13,171.0,185.0
0,갈현현대,73㎡,서울시 은평구 구산동,1138010500,382,서울시 은평구 서오릉로21길 36,37.612911,126.90587,366,0,20,10,306,23,373,현대건설(주),HT001,73.58,53.54,73,1,1,13,계단식,76650,241290,15330,149310,0,0,0,,143276,143729,,"4억 1,000",,,,,,,서울구산초등학교,B100001971,서울특별시 은평구 구산동 152-3,공립,단설,19771129,서울특별시교육청,http://gusan.sen.es.kr,20230531,19.8,21.1,446,441,20230531,9,60,6,6,6,6,7,8,130,140,143,134,155,,3,14,39,887,2,3,0,0,20230531,9,,0,0.0,20230531,직영,3589,1089,1039236000,37.61215988,126.90933372,1138010500,서울시,19.8,17.4,은평구,19.6,17.9,6,171.0,185.0
