,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,G-캐슬,48㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,48.03,41.73,87,2,1,1,계단식,45600,160560,9120,105840,0,0,0,,,,,,,"2억 3,000",,"1억 8,000/20",,"1억 8,000/20",,,,
1,G-캐슬,54㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,54.02,46.93,87,2,1,1,계단식,50100,172260,10020,112140,0,0,0,,,,,,,,,,,,,,,
2,G-캐슬,64㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,64.27,55.84,87,2,1,1,계단식,65850,213210,13170,134190,0,0,0,,,,,,,,,,,,,,,
3,G-캐슬,68A㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,68.07,59.14,87,2,1,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,
4,G-캐슬,70B㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,70.26,61.04,87,2,1,2,계단식,72150,229590,14430,143010,0,0,0,,,,,,,,,,,,,,,
5,G-캐슬,73A㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,73.94,64.24,87,2,1,1,계단식,82050,255330,16410,156870,0,0,0,,,,,,,,,,,,,,,
6,G-캐슬,74㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,74.4,64.64,87,3,2,4,계단식,82050,255330,16410,156870,0,0,0,,,,,,,,,,,,,,,
7,G-캐슬,74B㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,74.19,64.45,87,2,1,4,계단식,82050,255330,16410,156870,0,0,0,,,,,,,,,,,,,,,
8,G-캐슬,74C㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,74.24,64.5,87,2,1,1,계단식,82050,255330,16410,156870,0,0,0,,,,,,,,,,,,,,,
9,G-캐슬,89㎡,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,89.72,77.94,87,3,2,1,계단식,93300,284580,18660,172620,0,0,0,,,,,,,,,,,,,,,
10,G-캐슬,118,서울시 은평구 갈현동,1138010400,487-2,서울시 은평구 연서로21길 25,37.615204,126.915136,18,0,7,6,275,48,18,한국건설기업(주),HT001,118.83,103.24,87,3,2,1,계단식,126000,365400,25200,214200,0,0,0,,,,,,,,,,,,,,,
0,갈현건영,74㎡,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,74.26,59.99,81,3,1,39,복합식,83400,258840,16680,158760,0,0,0,,,,4억,"4억 3,000","2억 4,000","2억 6,000",,,,,,,,
1,갈현건영,95㎡,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,95.6,77.25,81,3,2,8,복합식,101400,305640,20280,183960,0,0,0,,,,,,,,,,,,,,,
2,갈현건영,102㎡,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,102.66,82.94,81,3,2,17,복합식,116250,344250,23250,204750,0,0,0,,,,,5억,,"3억 5,000","5,000/130",1억/100,"5,000/130",1억/100,,,,
3,갈현건영,104A㎡,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,104.45,84.38,81,3,2,52,복합식,121500,356850,24300,211050,0,0,0,,,,,"5억 9,500",,"3억 5,000",,,,,,,,
4,갈현건영,104B㎡,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,104.87,84.72,81,3,2,15,계단식,121500,356850,24300,211050,0,0,0,,,,,5억,,"3억 5,000",,"5,000/130",,"5,000/130",,,,
5,갈현건영,105C,서울시 은평구 갈현동,1138010400,541-1,서울시 은평구 갈현로45길 57,37.62907,126.91342,140,0,17,8,364,31,131,(주)건영,HT001,105,84.83,81,3,2,9,계단식,121500,356850,24300,211050,0,0,0,,,,,,,,,,,,,,,
0,갈현삼성,98A㎡,서울시 은평구 갈현동,1138010400,544,서울시 은평구 서오릉로 228,37.61545,126.90908,32,0,9,9,300,41,33,오이칠건설산업(주),HT001,98.73,79.85,81,3,2,24,복도식,114000,338400,22800,201600,0,0,0,,,,"5억 5,000",6억,,,,,,,,,,
1,갈현삼성,99B,서울시 은평구 갈현동,1138010400,544,서울시 은평구 서오릉로 228,37.61545,126.90908,32,0,9,9,300,41,33,오이칠건설산업(주),HT001,99.14,79.95,81,3,2,8,계단식,114000,338400,22800,201600,0,0,0,,,,,"6억 5,000",,,,,,,,,,
0,갈현현대,77㎡,서울시 은평구 갈현동,1138010400,537,서울시 은평구 갈현로33길 24,37.622355,126.913808,278,0,16,10,261,25,286,현대산업개발(주),HT001,77.06,59.25,77,3,1,134,복도식,159300,428670,31860,237510,0,0,0,,168212,167536,"5억 2,000","5억 8,000","2억 6,000","2억 8,000",,"1억 6,000/50",,"1억 6,000/50",,,,
1,갈현현대,110㎡,서울시 은평구 갈현동,1138010400,537,서울시 은평구 갈현로33길 24,37.622355,126.913808,278,0,16,10,261,25,286,현대산업개발(주),HT001,110.39,84.87,77,3,2,77,계단식,254700,609930,50940,304290,0,0,0,,240947,239980,"6억 3,000","8억 5,000",,"3억 5,000",,,,,,,,
2,갈현현대,115㎡,서울시 은평구 갈현동,1138010400,537,서울시 은평구 갈현로33길 24,37.622355,126.913808,278,0,16,10,261,25,286,현대산업개발(주),HT001,115.07,88.47,77,3,2,16,계단식,257400,615060,51480,306180,0,0,0,,251168,250160,,,,,,,,,,,,
3,갈현현대,142㎡,서울시 은평구 갈현동,1138010400,537,서울시 은평구 갈현로33길 24,37.622355,126.913808,278,0,16,10,261,25,286,현대산업개발(주),HT001,142.21,109.33,77,4,2,23,계단식,273600,645840,54720,317520,0,0,0,,310390,309143,,,"3억 8,000","4억 2,000",,,,,,,,
4,갈현현대,144,서울시 은평구 갈현동,1138010400,537,서울시 은평구 갈현로33길 24,37.622355,126.913808,278,0,16,10,261,25,286,현대산업개발(주),HT001,144.87,111.38,77,4,2,28,계단식,276300,650970,55260,319410,0,0,0,,316210,314940,,9억,,"4억 6,000",,3억/100,,3억/100,,,,
0,"골드스타(민간임대,도시형)",17A㎡,서울시 은평구 갈현동,1138010400,456-19,서울시 은평구 연서로29길 7-19,37.618091,126.919395,20,20,8,8,339,59,4,주식회사 용문건설,HT001,17.48,12.23,70,1,1,5,계단식,17033,68131,3407,47691,0,0,0,,,,,,,,,,,,,,,
1,"골드스타(민간임대,도시형)",17B㎡,서울시 은평구 갈현동,1138010400,456-19,서울시 은평구 연서로29길 7-19,37.618091,126.919395,20,20,8,8,339,59,4,주식회사 용문건설,HT001,17.78,12.44,70,1,1,5,계단식,17325,69300,3465,48510,0,0,0,,,,,,,,,,,,,,,
2,"골드스타(민간임대,도시형)",17C㎡,서울시 은평구 갈현동,1138010400,456-19,서울시 은평구 연서로29길 7-19,37.618091,126.919395,20,20,8,8,339,59,4,주식회사 용문건설,HT001,17.84,12.48,70,1,1,5,계단식,17325,69300,3465,48510,0,0,0,,,,,,,,,,,,,,,
3,"골드스타(민간임대,도시형)",24,서울시 은평구 갈현동,1138010400,456-19,서울시 은평구 연서로29길 7-19,37.618091,126.919395,20,20,8,8,339,59,4,주식회사 용문건설,HT001,24.81,17.36,70,1,1,5,계단식,21735,86940,4347,60858,0,0,0,,,,,,,,,,,,,,,
0,대양,48㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,48.95,41.7,85,2,1,1,계단식,95100,289260,19020,175140,0,0,0,,,,,,,,,,,,,,,
1,대양,64㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,64.71,55.13,85,3,1,1,계단식,126000,365400,25200,214200,0,0,0,,,,,,,,,,,,,,,
2,대양,71㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,71.46,60.88,85,3,1,1,계단식,157500,425250,31500,236250,0,0,0,,,,,,,,,,,,,,,
3,대양,76A㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,76.58,65.24,85,3,1,1,계단식,175500,459450,35100,248850,0,0,0,,,,,,,,,,,,,,,
4,대양,77B㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,77.85,66.32,85,3,1,1,계단식,180900,469710,36180,252630,0,0,0,,,,,,,,,,,,,,,
5,대양,80㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,80.29,68.4,85,3,1,2,계단식,191700,490230,38340,260190,0,0,0,,,,,,,,,,,,,,,
6,대양,82㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,82.74,70.49,85,3,1,1,계단식,204300,514170,40860,269010,0,0,0,,,,,,,,,,,,,,,
7,대양,90㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,90.64,77.22,85,3,1,1,계단식,235800,574020,47160,291060,0,0,0,,,,,,,,,,,,,,,
8,대양,93㎡,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,93.09,79.3,85,3,1,9,계단식,246600,594540,49320,298620,0,0,0,,,,,,,,,,,,,,,
9,대양,96,서울시 은평구 갈현동,1138010400,281-208,서울시 은평구 갈현로37길 64,37.624984,126.911652,19,0,5,4,215,50,18,,HT001,96.6,82.3,85,3,1,1,계단식,261900,623610,52380,309330,0,0,0,,,,,,,,,,,,,,,
0,대한웰빙홈(도시형),28㎡,서울시 은평구 갈현동,1138010400,549,서울시 은평구 통일로 925,37.625606,126.91974,86,0,11,11,249,36,75,유호산업개발(주),HT001,28.59,15.54,54,1,1,57,계단식,28575,114300,5715,80010,0,0,0,,,,,,,,,"2,000/48",,"2,000/48",,,,
1,대한웰빙홈(도시형),45㎡,서울시 은평구 갈현동,1138010400,549,서울시 은평구 통일로 925,37.625606,126.91974,86,0,11,11,249,36,75,유호산업개발(주),HT001,45.77,25.07,55,1,1,9,계단식,61800,202680,12360,128520,0,0,0,,,,,,,,,,,,,,,
2,대한웰빙홈(도시형),56,서울시 은평구 갈현동,1138010400,549,서울시 은평구 통일로 925,37.625606,126.91974,86,0,11,11,249,36,75,유호산업개발(주),HT001,56.29,31.15,55,1,1,20,계단식,71250,227250,14250,141750,0,0,0,,,,,,,"2억 3,100",,,,,,,,
0,대훈,77㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,77.8,68.05,87,3,2,1,계단식,79800,249480,15960,153720,0,0,0,,,,,,,,,,,,,,,
1,대훈,81㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,81.02,70.86,87,3,2,1,계단식,80700,251820,16140,154980,0,0,0,,,,,,,,,,,,,,,
2,대훈,89A㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,89.22,78.03,87,3,2,1,계단식,93750,285750,18750,173250,0,0,0,,,,,,,,,,,,,,,
3,대훈,90B㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,90.55,79.2,87,3,2,3,계단식,93750,285750,18750,173250,0,0,0,,,,,"5억 8,000",,,,,,,,,,
4,대훈,92A㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,92.03,80.49,87,3,2,1,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
5,대훈,93E㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,93.64,81.9,87,3,2,4,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
6,대훈,93B㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,93.02,81.36,87,3,2,1,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
7,대훈,93C㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,93.37,81.66,87,3,2,1,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
8,대훈,93D㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,93.43,81.72,87,3,2,1,계단식,97800,296280,19560,178920,0,0,0,,,,,"7억 5,000",,,,,,,,,,
9,대훈,94A㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,94.46,82.62,87,3,2,3,계단식,101400,305640,20280,183960,0,0,0,,,,,,,,,,,,,,,
10,대훈,95B㎡,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,95.18,83.25,87,3,2,1,계단식,99150,299790,19830,180810,0,0,0,,,,,,,,,,,,,,,
11,대훈,210A,서울시 은평구 갈현동,1138010400,136-6,서울시 은평구 연서로25길 23-9,37.617377,126.916282,19,0,7,5,240,57,25,정문종합건설(주),HT001,210.52,184.1,87,4,3,1,계단식,221400,546660,44280,280980,0,0,0,,,,,,,,,,,,,,,
0,동광갈현베르빌(주상복합),76㎡,서울시 은평구 갈현동,1138010400,465-12,서울시 은평구 연서로 149,37.6123,126.91679,175,0,24,20,595,50,234,(주)건설알포메,HT001,76.83,59.73,78,3,1,34,복도식,,,,,,,,,154120,166744,"5억 5,000",6억,,,,,,,,,,
1,동광갈현베르빌(주상복합),109㎡,서울시 은평구 갈현동,1138010400,465-12,서울시 은평구 연서로 149,37.6123,126.91679,175,0,24,20,595,50,234,(주)건설알포메,HT001,109.34,84.99,78,3,2,18,계단식,,,,,,,,,219316,237280,,,,,,,,,,,,
2,동광갈현베르빌(주상복합),125㎡,서울시 은평구 갈현동,1138010400,465-12,서울시 은평구 연서로 149,37.6123,126.91679,175,0,24,20,595,50,234,(주)건설알포메,HT001,125.46,107.15,85,4,2,36,계단식,,,,,,,,,276493,299139,"9억 2,000",10억,,"5억 5,000",,,,,,,,
3,동광갈현베르빌(주상복합),151,서울시 은평구 갈현동,1138010400,465-12,서울시 은평구 연서로 149,37.6123,126.91679,175,0,24,20,595,50,234,(주)건설알포메,HT001,151.68,134.71,89,4,2,87,계단식,,,,,,,,,347603,376074,,"8억 9,000",,,,,,,,,,
0,동진홈타운,28A㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,28.28,22.77,81,2,1,1,계단식,53220,138372,10644,74508,0,0,0,,,,,,,,,,,,,,,
1,동진홈타운,30B㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,30.29,24.39,81,2,1,1,계단식,57240,148824,11448,80136,0,0,0,,,,,,,,,,,,,,,
2,동진홈타운,33㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,33.41,26.9,81,2,1,2,계단식,64500,165600,12900,88200,0,0,0,,,,,,,,,,,,,,,
3,동진홈타운,37A㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,37.04,29.82,81,2,1,1,계단식,74400,186720,14880,97440,0,0,0,,,,,,,,,,,,,,,
4,동진홈타운,37B㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,37.18,29.93,81,2,1,1,계단식,75300,188640,15060,98280,0,0,0,,,,,,,,,,,,,,,
5,동진홈타운,42㎡,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,42.05,33.85,80,2,1,2,계단식,88800,217440,17760,110880,0,0,0,,,,,,,,,,,,,,,
6,동진홈타운,46,서울시 은평구 갈현동,1138010400,392-32,서울시 은평구 통일로 907-8,37.624244,126.919481,16,0,6,6,199,49,10,(주)대성기업개발,HT001,46.63,37.54,81,2,1,8,계단식,100500,242400,20100,121800,0,0,0,,,,,,,,,,,,,,,
0,디앤제이하우징(도시형),33,서울시 은평구 갈현동,1138010400,402-17,서울시 은평구 통일로83길 17-16,37.620352,126.918259,20,0,6,6,199,56,9,대평종합건설주식회사,HT001,33,28.13,85,1,1,20,계단식,122100,288480,24420,141960,0,0,0,,,,,,,,,,,,,,,
0,라이프씨티,84㎡,서울시 은평구 갈현동,1138010400,267-1,서울시 은평구 갈현로29길 61,37.62299,126.91038,123,0,15,8,224,18,0,라이프주택,HT001,84.44,64.63,77,3,1,13,복도식,81600,254160,16320,156240,0,0,0,,,,,,,,,,,,,,,
1,라이프씨티,99㎡,서울시 은평구 갈현동,1138010400,267-1,서울시 은평구 갈현로29길 61,37.62299,126.91038,123,0,15,8,224,18,0,라이프주택,HT001,99.72,76.34,77,3,1,14,복도식,104100,312660,20820,187740,0,0,0,,,,,,,,,,,,,,,
2,라이프씨티,103B㎡,서울시 은평구 갈현동,1138010400,267-1,서울시 은평구 갈현로29길 61,37.62299,126.91038,123,0,15,8,224,18,0,라이프주택,HT001,103.32,79.11,77,3,1,95,복도식,141300,394470,28260,224910,0,0,0,,,,"4억 8,000","6억 2,000",,,,,,,,,,
3,라이프씨티,103A,서울시 은평구 갈현동,1138010400,267-1,서울시 은평구 갈현로29길 61,37.62299,126.91038,123,0,15,8,224,18,0,라이프주택,HT001,103.62,79.05,76,3,1,1,계단식,128700,370530,25740,216090,0,0,0,,,,,,,,,,,,,,,
0,만연샌텀시티(도시형),18A㎡,서울시 은평구 갈현동,1138010400,456-8,서울시 은평구 연서로29길 7-5,37.618499,126.919501,18,0,11,10,430,51,4,(주)프레인종합건설,HT001,18.72,12.3,66,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
