,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,베르체,75㎡,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,75.37,68.61,91,2,1,1,계단식,101850,306810,20370,184590,0,0,0,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
1,베르체,100㎡,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,100.11,91.13,91,3,2,1,계단식,167400,444060,33480,243180,0,0,0,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
2,베르체,108A㎡,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,108.1,98.41,91,3,2,1,계단식,189900,486810,37980,258930,0,0,0,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
3,베르체,109B㎡,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,109.81,99.96,91,3,2,1,계단식,204300,514170,40860,269010,0,0,0,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
4,베르체,115㎡,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,115.37,105.03,91,3,2,4,계단식,229500,562050,45900,286650,0,0,0,,,,,10억,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
5,베르체,122,서울시 용산구 청파동3가,1117011100,132-15,서울시 용산구 효창원로72길 29,37.542691,126.963454,14,0,7,7,242,40,20,(주)거진건설,HT001,122.94,111.92,91,3,2,6,계단식,293400,683460,58680,331380,0,0,0,,,,,,,"6억 5,000",,4억/125,,4억/125,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,14,55.0,49.0
0,씨앤빌,26㎡,서울시 용산구 청파동3가,1117011100,134-47,서울시 용산구 백범로79다길 48,37.541687,126.967362,18,0,5,5,155,57,9,카사코(주),HT001,26.12,21.23,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,22,55.0,49.0
1,씨앤빌,28㎡,서울시 용산구 청파동3가,1117011100,134-47,서울시 용산구 백범로79다길 48,37.541687,126.967362,18,0,5,5,155,57,9,카사코(주),HT001,28.73,23.35,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,22,55.0,49.0
2,씨앤빌,32㎡,서울시 용산구 청파동3가,1117011100,134-47,서울시 용산구 백범로79다길 48,37.541687,126.967362,18,0,5,5,155,57,9,카사코(주),HT001,32.63,26.52,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,22,55.0,49.0
3,씨앤빌,33A㎡,서울시 용산구 청파동3가,1117011100,134-47,서울시 용산구 백범로79다길 48,37.541687,126.967362,18,0,5,5,155,57,9,카사코(주),HT001,33.88,27.54,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울청파초등학교,B100002395,서울특별시 용산구 청파동2가 1-42번지,공립,단설,19430120,서울특별시교육청,http://s-cheongpa.sen.es.kr,20230531,15.4,19.1,184,197,20230531,4,28,3,3,3,3,3,3,63,54,72,61,73,,2,3,18,381,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3447,513,521745000,37.54758803,126.96423645,1117011000,서울시,19.8,17.4,용산구,17.0,15.2,22,55.0,49.0
