,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,동아에코빌,87A㎡,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,87.96,59.95,68,3,1,427,복도식,126240,365840,25240,214360,0,0,0,,140492,143200,"5억 3,000",7억,,"3억 5,000",,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
1,동아에코빌,87B㎡,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,87.97,59.95,68,3,1,84,복도식,126240,365840,25240,214360,0,0,0,,140492,143200,"5억 6,000","6억 2,000",,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
2,동아에코빌,109B㎡,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,109.41,84.97,78,3,2,250,계단식,197520,501280,39500,264260,0,0,0,,199126,202965,"6억 8,000",8억,,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
3,동아에코빌,109A㎡,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,109.69,84.97,77,3,2,186,계단식,197520,501280,39500,264260,0,0,0,,199126,202965,"7억 3,000","7억 6,000",,"4억 5,000",,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
4,동아에코빌,142B㎡,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,142.1,114.66,81,4,2,184,계단식,274960,648420,54990,318470,0,0,0,,268704,273884,"8억 3,000","9억 5,000",,"5억 2,000",,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
5,동아에코빌,142A,서울시 성북구 상월곡동,1129013700,101,서울시 성북구 장월로1길 28,37.607917,127.045737,1253,0,23,11,281,20,1602,동아건설산업(주),HT001,142.09,114.66,81,4,2,122,계단식,274960,648420,54990,318470,0,0,0,,268704,273884,"8억 4,000","9억 5,000",,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,6,65.0,102.0
0,영스테이(도시형),18B㎡,서울시 성북구 상월곡동,1129013700,54-1,서울시 성북구 화랑로15길 10,37.605487,127.045769,21,21,5,3,199,55,5,단한건설개발주식회사,HT001,18.83,13.64,72,1,1,12,계단식,35580,92500,7110,49810,0,0,0,,,,,,,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,9,65.0,102.0
1,영스테이(도시형),18A㎡,서울시 성북구 상월곡동,1129013700,54-1,서울시 성북구 화랑로15길 10,37.605487,127.045769,21,21,5,3,199,55,5,단한건설개발주식회사,HT001,18.71,13.54,72,1,1,2,계단식,35580,92500,7110,49810,0,0,0,,,,,,,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,9,65.0,102.0
2,영스테이(도시형),19F㎡,서울시 성북구 상월곡동,1129013700,54-1,서울시 성북구 화랑로15길 10,37.605487,127.045769,21,21,5,3,199,55,5,단한건설개발주식회사,HT001,19.96,14.45,72,1,1,3,계단식,37440,97330,7480,52410,0,0,0,,,,,,,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,9,65.0,102.0
3,영스테이(도시형),19D㎡,서울시 성북구 상월곡동,1129013700,54-1,서울시 성북구 화랑로15길 10,37.605487,127.045769,21,21,5,3,199,55,5,단한건설개발주식회사,HT001,19.15,13.86,72,1,1,2,계단식,36180,94060,7230,50650,0,0,0,,,,,,,,,,,,서울월곡초등학교,B100002315,서울특별시 성북구 장위동 246-194번지,혁신,단설,19710901,서울특별시교육청,http://swg.sen.es.kr,20230531,15.7,18.1,192,151,20230531,8,29,3,3,3,2,3,3,50,49,63,45,66,,2,5,17,343,1,3,0,0,20230531,8,,0,0.0,20230531,직영,3447,533,545525000,37.60984851,127.04615738,1129013800,서울시,19.8,17.4,성북구,20.2,18.2,9,65.0,102.0
