,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,광남캐스빌,94㎡,서울시 송파구 오금동,1171011200,113-2,서울시 송파구 문정로 261,37.50155,127.142163,18,0,10,10,249,40,23,광남건설(주),HT001,94.54,80.54,85,3,2,1,계단식,127120,367520,25420,214980,0,0,0,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
1,광남캐스빌,98A㎡,서울시 송파구 오금동,1171011200,113-2,서울시 송파구 문정로 261,37.50155,127.142163,18,0,10,10,249,40,23,광남건설(주),HT001,98.33,83.77,85,3,2,1,계단식,141200,394280,28240,224840,0,0,0,,,,,"8억 4,000",,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
2,광남캐스빌,99B㎡,서울시 송파구 오금동,1171011200,113-2,서울시 송파구 문정로 261,37.50155,127.142163,18,0,10,10,249,40,23,광남건설(주),HT001,99.12,84.44,85,3,2,8,계단식,156160,422700,31230,235310,0,0,0,,,,,"8억 3,000",,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
3,광남캐스빌,99C,서울시 송파구 오금동,1171011200,113-2,서울시 송파구 문정로 261,37.50155,127.142163,18,0,10,10,249,40,23,광남건설(주),HT001,99.29,84.58,85,3,2,8,계단식,156160,422700,31230,235310,0,0,0,,,,,"8억 5,000",,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
0,그랑밸리(119-27),62㎡,서울시 송파구 오금동,1171011200,119-27,서울시 송파구 마천로 181,37.503277,127.139327,18,0,10,10,199,28,16,(주)동아,HT001,62.25,52.09,84,2,1,9,계단식,84810,262500,16960,160730,0,0,0,,,,,"5억 8,000",,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
1,그랑밸리(119-27),64,서울시 송파구 오금동,1171011200,119-27,서울시 송파구 마천로 181,37.503277,127.139327,18,0,10,10,199,28,16,(주)동아,HT001,64.55,54.02,84,2,1,9,계단식,92550,282630,18510,171570,0,0,0,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,5,113.0,124.0
0,"그랑밸리(131-9,도시형)",62A㎡,서울시 송파구 오금동,1171011200,131-9,서울시 송파구 동남로28길 11,37.502406,127.139155,20,0,6,6,199,52,16,비금종합건설주식회사,HT001,62.17,53.9,87,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
1,"그랑밸리(131-9,도시형)",63B㎡,서울시 송파구 오금동,1171011200,131-9,서울시 송파구 동남로28길 11,37.502406,127.139155,20,0,6,6,199,52,16,비금종합건설주식회사,HT001,63.19,54.7,87,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
2,"그랑밸리(131-9,도시형)",63C㎡,서울시 송파구 오금동,1171011200,131-9,서울시 송파구 동남로28길 11,37.502406,127.139155,20,0,6,6,199,52,16,비금종합건설주식회사,HT001,63.42,54.9,87,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
3,"그랑밸리(131-9,도시형)",64D,서울시 송파구 오금동,1171011200,131-9,서울시 송파구 동남로28길 11,37.502406,127.139155,20,0,6,6,199,52,16,비금종합건설주식회사,HT001,64.31,55.76,87,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
0,그랑밸리(64),62㎡,서울시 송파구 오금동,1171011200,64,서울시 송파구 성내천로8가길 1,37.502394,127.134349,10,0,6,6,198,52,10,주식회사세이코하우징,HT001,62.66,54.42,87,2,1,1,계단식,69330,222250,13860,139060,0,0,0,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,12,113.0,124.0
1,그랑밸리(64),88A㎡,서울시 송파구 오금동,1171011200,64,서울시 송파구 성내천로8가길 1,37.502394,127.134349,10,0,6,6,198,52,10,주식회사세이코하우징,HT001,88.03,76.43,87,3,2,4,계단식,104200,312920,20840,187880,0,0,0,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,12,113.0,124.0
2,그랑밸리(64),89B,서울시 송파구 오금동,1171011200,64,서울시 송파구 성내천로8가길 1,37.502394,127.134349,10,0,6,6,198,52,10,주식회사세이코하우징,HT001,89.74,77.92,87,3,2,5,계단식,109920,327780,21980,195880,0,0,0,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,12,113.0,124.0
0,그랑밸리(도시형),51㎡,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,51.85,43.98,85,2,1,1,계단식,198000,449280,39600,211680,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
1,그랑밸리(도시형),54㎡,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,54.66,46.36,85,2,1,1,계단식,216000,480960,43200,221760,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
2,그랑밸리(도시형),59A㎡,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,59.84,50.75,85,2,1,1,계단식,253500,546960,50700,242760,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
3,그랑밸리(도시형),59B㎡,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,59.84,50.76,85,2,1,1,계단식,253500,546960,50700,242760,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
4,그랑밸리(도시형),64㎡,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,64.38,54.6,85,2,1,3,계단식,276000,586560,55200,255360,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
5,그랑밸리(도시형),65,서울시 송파구 오금동,1171011200,39-4,서울시 송파구 오금로35길 38,37.506085,127.128925,10,0,6,6,199,52,8,마루종합건설(주),HT001,65.41,55.48,85,3,1,3,계단식,283500,599760,56700,259560,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,6,111.0,306.0
0,금성리치몬드,56㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,56.26,49.15,87,2,1,1,계단식,45680,160760,9130,105950,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
1,금성리치몬드,65㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,65.35,57.09,87,2,1,1,계단식,58580,194300,11710,124010,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
2,금성리치몬드,79㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,79.77,69.68,87,2,1,1,계단식,77070,242370,15410,149890,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
3,금성리치몬드,81㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,81.62,71.3,87,2,1,1,계단식,77070,242370,15410,149890,0,0,0,,,,,5억,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
4,금성리치몬드,90㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,90.71,79.24,87,3,2,1,계단식,81370,253550,16270,155910,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
5,금성리치몬드,92㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,92.15,80.5,87,3,2,1,계단식,86100,265860,17220,162540,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
6,금성리치몬드,95A㎡,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,95.86,83.74,87,3,2,3,계단식,89970,275910,17990,167950,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
7,금성리치몬드,97B,서울시 송파구 오금동,1171011200,85-4,서울시 송파구 중대로34길 21,37.505485,127.134359,12,0,7,7,254,53,12,위성종합건설(주),HT001,97.25,84.95,87,3,2,3,계단식,94270,287090,18850,173970,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,10,111.0,306.0
0,노블레스카운티,107㎡,서울시 송파구 오금동,1171011200,4-7,서울시 송파구 위례성대로 196,37.50943,127.13261,17,0,13,6,295,40,33,국토실업주식회사,HT001,107.8,93.9,87,3,2,10,계단식,379800,847620,75960,391860,0,0,0,,,,10억,11억,,7억,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,3,111.0,306.0
1,노블레스카운티,154,서울시 송파구 오금동,1171011200,4-7,서울시 송파구 위례성대로 196,37.50943,127.13261,17,0,13,6,295,40,33,국토실업주식회사,HT001,154.98,135,87,5,3,7,계단식,1238400,2140020,247680,653940,0,0,0,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,3,111.0,306.0
0,노블하우스,84㎡,서울시 송파구 오금동,1171011200,9-7,서울시 송파구 위례성대로22나길 9,37.509895,127.130549,10,0,6,6,215,51,15,(주)오스빌건설,HT001,84.45,75.04,89,3,2,2,계단식,,,,,,,,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,2,111.0,306.0
1,노블하우스,131A㎡,서울시 송파구 오금동,1171011200,9-7,서울시 송파구 위례성대로22나길 9,37.509895,127.130549,10,0,6,6,215,51,15,(주)오스빌건설,HT001,131.23,116.61,89,4,2,2,계단식,,,,,,,,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,2,111.0,306.0
2,노블하우스,132B,서울시 송파구 오금동,1171011200,9-7,서울시 송파구 위례성대로22나길 9,37.509895,127.130549,10,0,6,6,215,51,15,(주)오스빌건설,HT001,132.49,117.73,89,4,2,6,계단식,,,,,,,,,,,,,,,,,,,서울오금초등학교,B100000938,서울특별시 송파구 오금동 7번지,공립,단설,19930720,서울특별시교육청,http://ogum.sen.es.kr,20230531,19.7,20.6,330,330,20230531,2,45,7,6,4,5,4,5,129,122,102,107,85,,1,4,31,660,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,660,417972000,37.50915165,127.13180618,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,2,111.0,306.0
0,다빈치힐(도시형),35A㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,35.7,26.06,73,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
1,다빈치힐(도시형),37B㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,37.12,26.91,72,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
2,다빈치힐(도시형),38A㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,38.14,27.93,73,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
3,다빈치힐(도시형),38B㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,38.87,28.48,73,1,1,4,계단식,,,,,,,,,,,,"2억 3,000",,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
4,다빈치힐(도시형),40C㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,40.76,29.7,73,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
5,다빈치힐(도시형),40D㎡,서울시 송파구 오금동,1171011200,130,서울시 송파구 마천로26길 6-1,37.502639,127.138838,65,0,6,6,249,49,45,경지건설(주),HT001,40.56,29.91,74,1,1,1,계단식,,,,,,,,,,,,,,,,,,,서울거여초등학교,B100000904,서울특별시 송파구 오금동 108,혁신,단설,19670915,서울특별시교육청,http://geo-yeo.sen.es.kr,20230531,16.3,20.8,371,314,20230531,1,46,6,5,5,5,5,5,128,114,93,110,114,,2,13,31,685,1,6,0,0,20230531,4,,0,0.0,20230531,직영,3590,685,854814000,37.50489289,127.14091883,1171011200,서울시,19.8,17.4,송파구,21.5,18.0,4,113.0,124.0
