,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
2,송도그린빌,63A㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,63.55,52.29,82,2,1,1,계단식,59550,196830,11910,125370,0,0,0,,,,,,,"2억 3,000",,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
3,송도그린빌,63B㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,63.86,52.54,82,2,1,1,계단식,59550,196830,11910,125370,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
4,송도그린빌,70㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,70.25,60,85,3,1,1,계단식,37950,140670,7590,95130,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
5,송도그린빌,74㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,74.34,61.18,82,3,1,6,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
6,송도그린빌,74A㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,74.41,61.23,82,3,1,5,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
7,송도그린빌,74B㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,74.56,63.68,85,3,1,1,계단식,42000,151200,8400,100800,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
8,송도그린빌,84A㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,84.73,72.37,85,3,2,1,계단식,52800,179280,10560,115920,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
9,송도그린빌,85B㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,85.89,73.36,85,3,2,3,계단식,55500,186300,11100,119700,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
10,송도그린빌,88㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,88.14,75.28,85,3,2,1,계단식,57750,192150,11550,122850,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
11,송도그린빌,92㎡,서울시 서대문구 홍제동,1141011100,322-134,서울시 서대문구 모래내로24길 54,37.582048,126.942897,30,0,7,6,292,50,18,(주)집잘짓는사람들,HT001,92.26,78.8,85,3,2,3,계단식,62250,203850,12450,129150,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
